ItemNumberorderableSKU,Description,Vendor,OEM,OEMPartNumber,ConditionCode,QOH,InStock,LeadTime,InventoryID,RefNoteID,Attribute,RefNoteID_2,Attribute_2,InventoryID_2,Subitem,Warehouse,Location,InventoryID_3,Subitem_2,Warehouse_2,RefNoteID_3,Attribute_3,InventoryID_4,Currency,ReplClass,InventoryID_5,CuryID,Warehouse_3,LocationID,RefNoteID_4,Attribute_4
KW-F705,Philips M2736A Avalon Ultrasound Bottom Cover (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),Avante,KW-F706,New Aftermarket,261.000000,Y,1-5 days,KW-F705,822e0d46-6b64-ea11-817b-a9605c8569c6,MANUFACTUR,822e0d46-6b64-ea11-817b-a9605c8569c6,MFGPARTNO,KW-F705,0,APM MAIN,FETALS,KW-F705,0,APM MAIN,822e0d46-6b64-ea11-817b-a9605c8569c6,PARTGROUP,KW-F705,USD,PURCHASE,71936,USD,APM MAIN,FETALS,822e0d46-6b64-ea11-817b-a9605c8569c6,PSAPMPART
KW-F706,Philips M2734B Avalon Smart Toco Bottom Case (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),Avante,KW-F707-01,New Aftermarket,122.000000,Y,1-5 days,KW-F706,952e0d46-6b64-ea11-817b-a9605c8569c6,MANUFACTUR,952e0d46-6b64-ea11-817b-a9605c8569c6,MFGPARTNO,KW-F706,0,APM MAIN,FETALS,KW-F706,0,APM MAIN,952e0d46-6b64-ea11-817b-a9605c8569c6,PARTGROUP,KW-F706,USD,PURCHASE,71937,USD,APM MAIN,FETALS,952e0d46-6b64-ea11-817b-a9605c8569c6,PSAPMPART
KW-F707-01,Philips M2735A TOCO Smart Bottom Cover (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),Avante,M1233540,New Aftermarket,172.000000,Y,1-5 days,KW-F707-01,a82e0d46-6b64-ea11-817b-a9605c8569c6,MANUFACTUR,a82e0d46-6b64-ea11-817b-a9605c8569c6,MFGPARTNO,KW-F707-01,0,APM MAIN,FETALS,KW-F707-01,0,APM MAIN,a82e0d46-6b64-ea11-817b-a9605c8569c6,PARTGROUP,KW-F707-01,USD,PURCHASE,71938,USD,APM MAIN,FETALS,a82e0d46-6b64-ea11-817b-a9605c8569c6,PSAPMPART
M1224539,GE Carescape B450 Patient Monitor Handle (This part is a component of back case & handle assembly M1233540) (Refurbished),Avante Health Solutions (APM-PATIENT MONITORING),,,Refurbished,2.000000,Y,1-5 days,M1224539,,,,,M1224539,0,APM MAIN,E08D1,M1224539,0,APM MAIN,fc277d6c-e202-eb11-8181-1296c0afa970,PARTGROUP,M1224539,USD,PURCHASE,121366,USD,APM MAIN,E08D1,fc277d6c-e202-eb11-8181-1296c0afa970,PSAPMPART
M1224539-C,GE Carescape B450 Patient Monitor Handle (This part is a component of back case & handle assembly M1233540) (New Replacement)),Avante Health Solutions (APM-PATIENT MONITORING),,,New Aftermarket,1.000000,Y,1-5 days,M1224539-C,,,,,M1224539-C,0,APM MAIN,E08C1,M1224539-C,0,APM MAIN,dd74a3de-ec63-ef11-835b-121089124341,PARTGROUP,M1224539-C,USD,PURCHASE,167620,USD,APM MAIN,E08C1,dd74a3de-ec63-ef11-835b-121089124341,PSAPMPART
M1233540-C,GE Carescape B450 Rear Case/Handle (Replacement New),Avante Health Solutions (APM-PATIENT MONITORING),GE,M1168219,New Aftermarket,2.000000,Y,1-5 days,M1233540-C,f90fbe1f-6ea6-ee11-8353-121089124341,MANUFACTUR,f90fbe1f-6ea6-ee11-8353-121089124341,MFGPARTNO,M1233540-C,0,APM MAIN,E08B1,M1233540-C,0,APM MAIN,f90fbe1f-6ea6-ee11-8353-121089124341,PARTGROUP,M1233540-C,USD,PURCHASE,164287,USD,APM MAIN,E08B1,f90fbe1f-6ea6-ee11-8353-121089124341,PSAPMPART
M1643A-C,Philips Cardiac Output Cable (M1643A Direct Replacement) (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),Avante,M3001-40102-B,New Aftermarket,20.000000,Y,1-5 days,M1643A-C,cc76a713-3e9d-eb11-8175-12e75f4d5d6d,MANUFACTUR,cc76a713-3e9d-eb11-8175-12e75f4d5d6d,MFGPARTNO,M1643A-C,0,APM MAIN,F06A1,M1643A-C,0,APM MAIN,cc76a713-3e9d-eb11-8175-12e75f4d5d6d,PARTGROUP,M1643A-C,USD,PURCHASE,139451,USD,APM MAIN,F06A1,cc76a713-3e9d-eb11-8175-12e75f4d5d6d,PSAPMPART
M3001-40102-W,Philips M3001A Chassis - New Style (White),Avante Health Solutions (APM-PATIENT MONITORING),Philips,M3001-64050,New Aftermarket,44.000000,Y,1-5 days,M3001-40102-W,f60dd77b-6b64-ea11-817b-a9605c8569c6,MANUFACTUR,f60dd77b-6b64-ea11-817b-a9605c8569c6,MFGPARTNO,M3001-40102-W,0,APM MAIN,F12H1,M3001-40102-W,0,APM MAIN,f60dd77b-6b64-ea11-817b-a9605c8569c6,PARTGROUP,M3001-40102-W,USD,PURCHASE,72268,USD,APM MAIN,F12H1,f60dd77b-6b64-ea11-817b-a9605c8569c6,PSAPMPART
M3001-66425-F,Philips IntelliVue M3001A MMS Module Main Circuit Board PCB (With Gold Band) (New Style) (Finished),Avante Health Solutions (APM-PATIENT MONITORING),Philips,M3001-68557,Refurbished,1.000000,Y,1-5 days,M3001-66425-F,4323e481-6b64-ea11-817b-a9605c8569c6,MANUFACTUR,4323e481-6b64-ea11-817b-a9605c8569c6,MFGPARTNO,M3001-66425-F,0,APM MAIN,A000001,M3001-66425-F,0,APM MAIN,4323e481-6b64-ea11-817b-a9605c8569c6,PARTGROUP,M3001-66425-F,USD,PURCHASE,72284,USD,APM MAIN,A000001,4323e481-6b64-ea11-817b-a9605c8569c6,PSAPMPART
M3002-64100-C,Philips Intellivue X2/MP2 Handle Assembly Kit (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),Philips,M3002-68580,New Aftermarket,8.000000,Y,1-5 days,M3002-64100-C,578f781c-2293-eb11-8174-12e75f4d5d6d,MANUFACTUR,578f781c-2293-eb11-8174-12e75f4d5d6d,MFGPARTNO,M3002-64100-C,0,APM MAIN,F12C3,M3002-64100-C,0,APM MAIN,578f781c-2293-eb11-8174-12e75f4d5d6d,PARTGROUP,M3002-64100-C,USD,PURCHASE,139218,USD,APM MAIN,F12C3,578f781c-2293-eb11-8174-12e75f4d5d6d,PSAPMPART
