InventoryID,ItemNumber,Vendor,OEM,PartDescription,ListPrice,OutrightCosttoPartsSource,ExchangeCost,CoreCharge,ConditionCode,UOM,QTYUOM,StockYN,QOH,LeadTime,CompatibleModels,ManufacturedYear,Usage,InventoryID_2,InventoryID_3,CuryID,Subitem,Warehouse,InventoryID_4,Subitem_2,Warehouse_2,Location,RefNoteID,Attribute,InventoryID_5,Currency,ReplClass,Warehouse_3,LocationID
00.006.112,00.006.112,Avante Health Solutions,ULTRASONIX,Sonix Touch Utility Tray,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,1.000000,1-5 Days,,,,00.006.112,76376,USD,0,AUE MAIN,00.006.112,0,AUE MAIN,E30,f7043c87-6868-ea11-817c-8cbf77a7ab76,PARTGROUP,00.006.112,USD,PURCHASE,AUE MAIN,E30
00.035.020,00.035.020,Avante Health Solutions,ULTRASONIX,UMC L9-4/38mm X'dcr,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,2.000000,1-5 Days,,,,00.035.020,76381,USD,0,AUE MAIN,00.035.020,0,AUE MAIN,A65,098402a2-6868-ea11-817c-8cbf77a7ab76,PARTGROUP,00.035.020,USD,PURCHASE,AUE MAIN,A65
00.035.036,00.035.036,Avante Health Solutions,ULTRASONIX,"UMC MC9-4, 4-9MHz transducer",Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,1.000000,1-5 Days,,,,00.035.036,76384,USD,0,AUE MAIN,00.035.036,0,AUE MAIN,A65,3f8402a2-6868-ea11-817c-8cbf77a7ab76,PARTGROUP,00.035.036,USD,PURCHASE,AUE MAIN,A65
00.040.148,00.040.148,Avante Health Solutions,ULTRASONIX,"UMC MC9-4, 4-9MHz transducer",Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,1.000000,1-5 Days,,,,00.040.148,76391,USD,0,AUE MAIN,00.040.148,0,AUE MAIN,A65,bd8402a2-6868-ea11-817c-8cbf77a7ab76,PARTGROUP,00.040.148,USD,PURCHASE,AUE MAIN,A65
00-876344-01,00-876344-01,Avante Health Solutions,GE,CROSS ARM BRACE FOR OEC C-ARM,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-876344-01,62918,USD,0,ADI MAIN,,,,,98e2064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-876344-01,USD,PURCHASE,,
00-876504-03,00-876504-03,Avante Health Solutions,GE,Auxiliary Interface Board,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-876504-03,62920,USD,0,ADI MAIN,,,,,bee2064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-876504-03,USD,PURCHASE,,
00-878908-03,00-878908-03,Avante Health Solutions,GE,Generator Driver Board,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-878908-03,62933,USD,0,ADI MAIN,,,,,b5e3064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-878908-03,USD,PURCHASE,,
00-879464-01,00-879464-01,Avante Health Solutions,GE,Ribbon Cable Assy 4/30 FPS,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-879464-01,62948,USD,0,ADI MAIN,,,,,d2e4064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-879464-01,USD,PURCHASE,,
00-879480-01,00-879480-01,Avante Health Solutions,GE,"CABLE ASM, DISP CONT-THERMAL PRINTERS AND VCR 28/68/88/98/9900",Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-879480-01,62951,USD,0,ADI MAIN,,,,,0ce5064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-879480-01,USD,PURCHASE,,
00-879707-02,00-879707-02,Avante Health Solutions,GE,BRAKE ASSY FOR OEC 9800,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-879707-02,62954,USD,0,ADI MAIN,,,,,45e5064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-879707-02,USD,PURCHASE,,
